Data;NDVI;M�dia - Desvio Padr�o;M�dia + Desvio Padr�o
18/02/2000;0,6873;0,6532;0,7215
05/03/2000;0,7075;0,6659;0,7491
21/03/2000;0,6992;0,6696;0,7288
06/04/2000;0,6668;0,6332;0,7003
22/04/2000;0,6693;0,6373;0,7013
08/05/2000;0,579;0,5342;0,6238
24/05/2000;0,5801;0,5384;0,6218
09/06/2000;0,5264;0,4917;0,5612
25/06/2000;0,4574;0,4152;0,4997
11/07/2000;0,463;0,4109;0,5151
27/07/2000;0,4128;0,3633;0,4622
12/08/2000;0,4152;0,3638;0,4665
28/08/2000;0,5068;0,4753;0,5383
13/09/2000;0,5373;0,4798;0,5948
29/09/2000;0,5329;0,4808;0,585
15/10/2000;0,4787;0,4259;0,5315
31/10/2000;0,4416;0,2137;0,6696
16/11/2000;0,6099;0,5624;0,6574
02/12/2000;0,4456;0,284;0,6072
18/12/2000;0,4905;0,2211;0,76
01/01/2001;0,6587;0,5937;0,7237
17/01/2001;0,6513;0,5621;0,7406
02/02/2001;0,6824;0,6335;0,7313
18/02/2001;0,6887;0,6326;0,7449
06/03/2001;0,6778;0,642;0,7135
22/03/2001;0,6842;0,6253;0,743
07/04/2001;0,6647;0,6039;0,7254
23/04/2001;0,5958;0,5338;0,6579
09/05/2001;0,5659;0,5121;0,6197
25/05/2001;0,557;0,5175;0,5966
10/06/2001;0,5587;0,5013;0,6162
26/06/2001;0,4822;0,4313;0,5331
12/07/2001;0,4574;0,4107;0,5041
28/07/2001;0,4376;0,3845;0,4907
13/08/2001;0,3949;0,3459;0,4439
29/08/2001;0,3937;0,3342;0,4533
14/09/2001;0,4238;0,3769;0,4708
30/09/2001;0,5342;0,4581;0,6103
16/10/2001;0,5478;0,4836;0,612
01/11/2001;0,5626;0,5069;0,6182
17/11/2001;0,674;0,6166;0,7314
03/12/2001;0,6354;0,5402;0,7305
19/12/2001;0,702;0,5683;0,8357
01/01/2002;0,6929;0,6653;0,7205
17/01/2002;0,7538;0,7171;0,7906
02/02/2002;0,6931;0,6495;0,7366
18/02/2002;0,6888;0,6578;0,7197
06/03/2002;0,6869;0,6634;0,7103
22/03/2002;0,6703;0,6192;0,7215
07/04/2002;0,6395;0,5864;0,6926
23/04/2002;0,6001;0,5685;0,6316
09/05/2002;0,5662;0,5078;0,6246
25/05/2002;0,5556;0,5256;0,5855
10/06/2002;0,512;0,4619;0,5621
26/06/2002;0,4532;0,3983;0,5081
12/07/2002;0,4162;0,3581;0,4744
28/07/2002;0,4335;0,397;0,47
13/08/2002;0,4056;0,3558;0,4554
29/08/2002;0,411;0,3583;0,4637
14/09/2002;0,4791;0,4306;0,5276
30/09/2002;0,4431;0,3962;0,4899
16/10/2002;0,441;0,4004;0,4816
01/11/2002;0,4109;0,3527;0,469
17/11/2002;0,5582;0,5235;0,5928
03/12/2002;0,6015;0,5718;0,6312
19/12/2002;0,5702;0,5116;0,6288
01/01/2003;0,6513;0,5871;0,7155
17/01/2003;0,6676;0,3831;0,9522
02/02/2003;0,6454;0,5845;0,7063
18/02/2003;0,6636;0,6249;0,7023
06/03/2003;0,6446;0,5993;0,6898
22/03/2003;0,6271;0,5917;0,6625
07/04/2003;0,6498;0,6034;0,6962
23/04/2003;0,5999;0,5521;0,6477
09/05/2003;0,5843;0,5406;0,6279
25/05/2003;0,5506;0,5;0,6013
10/06/2003;0,522;0,4714;0,5726
26/06/2003;0,4657;0,4166;0,5148
12/07/2003;0,458;0,407;0,509
28/07/2003;0,4447;0,408;0,4815
13/08/2003;0,4063;0,3568;0,4557
29/08/2003;0,3957;0,3606;0,4309
14/09/2003;0,4104;0,3634;0,4573
30/09/2003;0,4646;0,4084;0,5208
16/10/2003;0,465;0,4064;0,5235
01/11/2003;0,5252;0,4602;0,5902
17/11/2003;0,5043;0,4242;0,5844
03/12/2003;0,6133;0,5736;0,653
19/12/2003;0,4382;0,2785;0,5979
01/01/2004;0,3761;0,3002;0,4519
17/01/2004;0,6738;0,608;0,7397
02/02/2004;0,7197;0,6886;0,7509
18/02/2004;0,7113;0,6722;0,7503
05/03/2004;0,6627;0,612;0,7133
21/03/2004;0,6493;0,6022;0,6964
06/04/2004;0,6914;0,6341;0,7487
